Complaint ID,Product
11868276,Credit card
9049805,Credit card
11943178,Credit card
11943178,Credit card
11943178,Credit card
10588919,Credit card
10588919,Credit card
2436833,Credit card
11572796,Credit card
8184419,Credit card
7731352,Credit card
1446533,Credit card
7709381,Credit card
7709381,Credit card
8924840,Credit card
8868434,Credit card
8411390,Credit card
11477237,Credit card
1843134,Credit card
1843134,Credit card
1843134,Credit card
11796858,Credit card
11796858,Credit card
10978912,Credit card
7665685,Credit card
9263153,Credit card
9263153,Credit card
1984026,Credit card
1984026,Credit card
7696793,Credit card
7696793,Credit card
10605402,Credit card
13292133,Credit card
13292133,Credit card
9531740,Credit card
9265600,Credit card
9265600,Credit card
8581072,Credit card
9128773,Credit card
8884738,Credit card
10975882,Credit card
8106210,Credit card
2224073,Credit card
2224073,Credit card
8684616,Credit card
8684616,Credit card
8684616,Credit card
9112158,Credit card
12752059,Credit card
8042563,Credit card
2208122,Credit card
8871138,Credit card
7813738,Credit card
1710482,Credit card
1710482,Credit card
1710482,Credit card
1393336,Credit card
1393336,Credit card
12008757,Credit card
12523038,Credit card
12523038,Credit card
12523038,Credit card
12523038,Credit card
8367444,Credit card
8367444,Credit card
13126719,Credit card
13126719,Credit card
7859096,Credit card
7859096,Credit card
7860657,Credit card
7976487,Credit card
7772729,Credit card
7772729,Credit card
7899417,Credit card
10707035,Credit card
9655861,Credit card
2401740,Credit card
2362128,Credit card
2362128,Credit card
8874750,Credit card
